,claim_status,video_duration_sec,video_transcription_text,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,text_length,verified_status_verified,author_ban_status_banned,author_ban_status_under review
10655,0,42,my friends understand that the largest recorded snowflake was 15 inches wide,1377.0,565.0,90.0,7.0,2.0,76,False,False,False
6432,1,22,a colleague learned  on a website a claim that children are born less frequently on saturdays,363100.0,48572.0,3314.0,124.0,81.0,93,False,False,True
7937,1,26,someone discovered a report claiming that avocados never ripen while they are still attached to the tree,514042.0,315433.0,123140.0,4350.0,1198.0,104,False,True,False
12996,0,30,our sentiment is that the busiest airport in the world is in the united states,6224.0,172.0,18.0,2.0,0.0,78,False,False,False
6897,1,55,a colleague read  in the media a claim that x-rays can’t distinguish real diamonds from fake ones,231904.0,83966.0,27617.0,1902.0,83.0,97,False,True,False
11577,0,30,my understanding is that the chinese began to document halley’s comet in 240 b.c.,955.0,148.0,51.0,3.0,0.0,81,False,False,False
2490,1,38,a friend read  in the media that damascus is the oldest continuously inhabited city in the world,685171.0,49508.0,19737.0,959.0,478.0,96,True,False,False
592,1,60,the news told me someone discovered that the folds in a chef’s hat represents the number of ways that someone can cook an egg,873157.0,222286.0,61994.0,2935.0,662.0,125,False,False,False
4777,1,44,i learned  in a discussion board that the world generates 2.5 quintillion bytes of data every day,583881.0,248445.0,53236.0,5679.0,3312.0,97,False,False,False
9784,0,60,i believe that the earth holds about 11 quintillion pounds of air,3408.0,492.0,190.0,11.0,3.0,65,False,False,False
13126,0,8,our position is that the population of the united states increases by one person every 12 seconds,6550.0,1099.0,329.0,10.0,3.0,97,False,False,True
6680,1,60,a colleague read  online that the insect population of the world is 1 billion times more than the world population,123054.0,48665.0,14918.0,936.0,301.0,114,False,False,True
4108,1,46,someone read  in a discussion board a claim that some sharks can glow in the dark,729195.0,234220.0,63713.0,895.0,173.0,81,False,False,False
535,1,8,the news reported someone discovered that most children in the world are born on a thursday,637445.0,49325.0,16493.0,879.0,525.0,91,False,False,False
13705,0,58,my friends' opinion is that new zealanders have more pets per household than any other country,8599.0,2488.0,816.0,1.0,0.0,94,False,False,False
9336,1,37,a colleague discovered on the news that the microwave oven was an accidental invention,469970.0,176631.0,51614.0,2406.0,861.0,86,False,False,True
16127,0,59,my colleagues' thinking is that 1 in 3 people have never used the internet,599.0,24.0,2.0,0.0,0.0,74,False,False,False
105,1,49,"a friend mentioned someone discovered that london, england has the world's oldest subway system",631075.0,284311.0,97442.0,1163.0,354.0,95,True,False,True
17167,0,21,i can say that a man once set a record by putting on over 260 t-shirts,8182.0,2608.0,959.0,29.0,10.0,70,False,False,False
4820,1,10,i learned  in a discussion board a claim that the most productive work day of the week is tuesday,115611.0,26631.0,6203.0,442.0,284.0,97,False,False,True
2648,1,9,"a friend read  on social media a claim that about once a year, an asteroid the size of a car enters earth’s atmosphere",574541.0,77827.0,8602.0,1456.0,886.0,118,False,False,False
867,1,5,i mentioned an expert discovered that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,512046.0,7896.0,2652.0,165.0,47.0,125,False,False,False
10671,0,32,my friends understand that a shape with 26 sides is known as a rhombicuboctahedron,4468.0,1125.0,268.0,13.0,0.0,82,False,False,False
12566,0,40,our opinion is that humans physically cannot hum while holding your nose,2979.0,956.0,208.0,3.0,1.0,72,False,False,False
7173,1,58,"a colleague read  on a website a claim that cows have ""best friends"" and will get stressed when separated",551980.0,46699.0,3087.0,238.0,58.0,105,False,False,False
5215,1,27,"i read  online a claim that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",788681.0,262835.0,32092.0,1898.0,1232.0,137,False,False,False
850,1,39,i mentioned an expert discovered that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,483921.0,88351.0,12788.0,672.0,379.0,137,False,False,False
17923,0,30,my friends are willing to bet that children are born less frequently on saturdays,2345.0,444.0,88.0,5.0,1.0,81,False,False,False
2216,1,37,a friend learned  from the media that human eyeballs do not grow or change their size as they age,935341.0,450682.0,98809.0,6815.0,3924.0,97,False,False,True
18708,0,7,my family is convinced  that drone deliveries are already happening and will become common by 2025,8889.0,442.0,6.0,5.0,2.0,98,False,False,False
1105,1,35,i told them an expert revealed that an octopus has three hearts,191597.0,103298.0,8323.0,1135.0,150.0,63,False,False,False
18402,0,54,my colleagues are willing to wager that sea otters are born unable to swim,8389.0,3329.0,179.0,31.0,7.0,74,False,False,False
15064,0,26,"my family's understanding is that about once a year, an asteroid the size of a car enters earth’s atmosphere",8136.0,3281.0,684.0,7.0,1.0,108,False,False,False
1556,1,21,"a friend learned  online that in japan, its considered good luck when a sumo wrestler makes your baby cry",950595.0,304743.0,96561.0,1198.0,447.0,105,False,False,False
15153,0,25,my family's impression is that we only see the same side of the moon,3932.0,1292.0,244.0,11.0,2.0,68,False,False,False
7770,1,47,someone located a report mentioning that the average car has more than 100 miles of code in the vehicle’s internal computer,388980.0,122087.0,17501.0,435.0,57.0,123,False,False,False
13140,0,40,our position is that melting glaciers make fizzy noises,6925.0,209.0,11.0,4.0,0.0,55,False,False,False
14088,0,57,my friends' feeling is that marie curie is the only person with two nobel prizes in different sciences,6723.0,161.0,39.0,0.0,0.0,102,False,False,False
15669,0,13,my family's belief is that sweden has the most islands of any country,3627.0,293.0,90.0,6.0,2.0,69,True,False,False
13573,0,53,my friends' view is that the biggest passenger bus in the world operates in brazil,4181.0,917.0,356.0,2.0,0.0,82,False,False,False
14569,0,27,my friends' hypothesis is that captive ravens can speak better than parrots,5022.0,455.0,83.0,6.0,2.0,75,False,False,False
13748,0,16,my friends' thinking is that microbes from the sahara desert help feed the amazon rainforest,5362.0,1789.0,670.0,2.0,0.0,92,False,False,False
17008,0,46,i say that the most watched summer olympics event for the past 20 years has been gymnastics,7218.0,1888.0,344.0,7.0,2.0,91,False,False,False
4127,1,31,someone read  in a discussion board a claim that playing dance music helps ward off mosquitoes,656169.0,421170.0,20982.0,6866.0,628.0,94,False,False,True
17887,0,34,my friends are willing to bet that dolphins are mammals,423.0,76.0,7.0,2.0,1.0,55,False,False,False
3584,1,37,someone learned  from the news that the longest recorded tennis match lasted for 11 hours,109769.0,27032.0,6650.0,657.0,254.0,89,False,False,False
16317,0,13,my colleagues' impression is that the largest rock on earth is in australia,6622.0,2169.0,375.0,21.0,2.0,75,False,False,False
4316,1,58,someone read  in the news a claim that the dwarf planet pluto was named by an 11-year-old girl,456164.0,288053.0,60927.0,6836.0,3256.0,94,False,False,False
726,1,28,the news reported someone revealed that leeches were historically used to predict the weather,521704.0,279112.0,47440.0,2321.0,517.0,93,False,False,False
13458,0,53,my friends' point of view is that the band metallica is the first and only group to play on all seven continents,3093.0,796.0,112.0,11.0,2.0,112,False,False,False
8469,1,27,a colleague discovered an article mentioning that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,677111.0,436214.0,16484.0,8227.0,1520.0,153,False,False,False
3310,1,17,someone learned  on social media that a giant tortoise that was believed to be extinct was found in the galapagos islands,405225.0,255878.0,62715.0,282.0,160.0,121,False,False,False
8608,1,19,a friend discovered on the news a claim that humans have jumped further than horses in the olympics,920058.0,113822.0,38217.0,999.0,241.0,99,False,False,False
403,1,19,a friend told me someone revealed that applying an equal amount of pressure to the total surface area of an egg will prevent it from breaking,593497.0,68324.0,20712.0,1694.0,719.0,141,False,False,False
17760,0,5,my friends are willing to wager that humans will live on mars by 2035,6311.0,1400.0,155.0,23.0,5.0,69,False,False,False
12253,0,51,my hypothesis is that some sharks can glow in the dark,5518.0,1209.0,178.0,1.0,0.0,54,False,False,False
15836,0,8,my colleagues' point of view is that china owns all of the pandas in the world,6080.0,2280.0,380.0,53.0,11.0,78,False,False,False
8042,1,16,i read a story claiming that x-rays can’t distinguish real diamonds from fake ones,575766.0,306583.0,46926.0,6051.0,3323.0,82,False,False,False
7593,1,10,a friend discovered a study mentioning that the longest recorded tennis match lasted for 11 hours,66342.0,32347.0,10839.0,214.0,10.0,97,False,True,False
10409,0,15,"my friends think that 99% of individuals in denmark, ireland and the united arab emirates have internet access",994.0,265.0,60.0,5.0,1.0,110,True,False,False
642,1,13,the news claimed someone discovered that the sound of knuckles cracking is actually gasses that are released when pressure is put on them,370008.0,220768.0,11069.0,2383.0,1155.0,137,False,False,False
190,1,29,a friend told me someone discovered that footprints left on the moon won’t disappear as there is no wind,330402.0,171557.0,45777.0,1871.0,355.0,104,False,False,False
11735,0,12,my impression is that losing weight alters brain activity,404.0,25.0,9.0,0.0,0.0,57,False,False,False
1791,1,36,a friend learned  in the media a claim that footprints left on the moon won’t disappear as there is no wind,633145.0,305314.0,117399.0,1807.0,859.0,107,False,False,False
13540,0,8,my friends' view is that yellowstone national park is home to a supervolcano,3003.0,1213.0,238.0,25.0,5.0,76,False,False,False
11516,0,48,my thinking is that wild boars wash their food,1735.0,428.0,165.0,2.0,0.0,46,False,False,False
1492,1,14,a colleague claimed the media revealed a full jumbo jet tank has enough fuel to drive a car around the world four times,121384.0,46033.0,11613.0,155.0,67.0,119,False,True,False
9801,0,24,i understand that a modern formula 1 racing car can drive upside down in a tunnel at 120mph,4320.0,986.0,194.0,23.0,0.0,91,True,False,True
16713,0,32,my colleagues' reasoning is that there are more microorganisms in one teaspoon of soil than people on the planet,8935.0,490.0,160.0,4.0,1.0,112,False,False,False
9463,1,46,a colleague discovered on tv a claim that we will all fly with individual jetpacks by 2032,532183.0,65299.0,6908.0,811.0,273.0,90,False,False,False
6476,1,32,a colleague learned  from the news that elephants will console each other during stressful situations,133904.0,67417.0,21082.0,670.0,373.0,101,False,True,False
902,1,53,i reported an expert discovered that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,701333.0,434611.0,15476.0,130.0,71.0,137,False,False,False
12258,0,31,my hypothesis is that halley’s comet won’t be seen again until 2061,7077.0,1540.0,18.0,6.0,2.0,67,False,False,False
19029,0,30,"in our opinion about once a year, an asteroid the size of a car enters earth’s atmosphere",101.0,42.0,14.0,1.0,0.0,89,False,False,False
10556,0,48,my friends believe that human eyeballs do not grow or change their size as they age,1026.0,151.0,38.0,0.0,0.0,83,False,False,False
12741,0,29,our understanding is that it is physically impossible for humans to keep their eyes open while sneezing,5626.0,2384.0,227.0,15.0,3.0,103,False,False,False
1605,1,10,a friend learned  online a claim that the largest pair of eyes in the world belongs to the giant squid,690529.0,10947.0,248.0,133.0,41.0,102,False,True,False
17156,0,6,i can say that the most successful predator is a wild dog,882.0,356.0,4.0,0.0,0.0,57,False,False,False
5870,1,28,i read  in the media a claim that the first cruise ship set sail in 1900,351048.0,132612.0,51551.0,1867.0,1001.0,72,False,False,True
2367,1,7,a friend read  online a claim that the world’s largest pyramid cannot be found in egypt,889840.0,398430.0,128538.0,387.0,131.0,87,False,False,False
9502,1,13,a colleague discovered on tv a claim that wild boars wash their food,492684.0,276819.0,73367.0,2726.0,860.0,68,False,False,False
3458,1,16,someone learned  on a website that adult cats only meow to humans,151836.0,94696.0,14263.0,1252.0,269.0,65,False,False,False
4259,1,34,someone read  in the news that honeybees can recognize human faces,163084.0,80716.0,18528.0,467.0,81.0,66,False,False,True
4387,1,36,someone read  in the media a claim that a full jumbo jet tank has enough fuel to drive a car around the world four times,849529.0,325311.0,118334.0,3067.0,1545.0,120,False,True,False
12769,0,24,our understanding is that the longest recorded tennis match lasted for 11 hours,8876.0,1468.0,102.0,32.0,5.0,79,False,False,False
5352,1,49,i read  in the media that the most productive work day of the week is tuesday,84464.0,51447.0,18237.0,629.0,251.0,77,False,False,False
4556,1,57,i learned  on an internet forum a claim that half of retail purchases are now made through a mobile device,484869.0,72999.0,19676.0,1284.0,626.0,106,False,False,False
2554,1,47,a friend read  in the media a claim that it is illegal to waste food in french supermarkets,729586.0,82325.0,8927.0,1598.0,820.0,91,False,False,True
17415,0,8,i am willing to say that the sunset is blue on mars,4179.0,1276.0,16.0,8.0,2.0,51,False,False,True
10617,0,30,my friends understand that neptune radiates more heat than it gets from the sun,3220.0,923.0,169.0,16.0,4.0,79,True,False,False
10841,0,24,my colleagues think that it is illegal to waste food in french supermarkets,3652.0,724.0,108.0,18.0,6.0,75,False,False,False
17687,0,46,my friends are willing to say that about half of the world's population can access the web via a mobile device,9782.0,3054.0,928.0,62.0,14.0,110,False,False,False
17783,0,46,my friends are willing to wager that an average user spends 40% of their day on the internet,2696.0,969.0,140.0,6.0,1.0,92,False,False,False
9030,1,33,someone discovered on the radio a claim that it would take less than a month to get to the moon by car at 60mph,567568.0,202381.0,35991.0,4078.0,940.0,111,True,True,False
13229,0,48,our reasoning is that children are born less frequently on saturdays,4943.0,1856.0,666.0,28.0,2.0,68,True,False,False
10337,0,17,my family feels that elephants will console each other during stressful situations,7086.0,1939.0,579.0,9.0,1.0,82,False,False,False
11220,0,20,my point of view is that australia has the most number of venomous snakes worldwide,1564.0,643.0,187.0,10.0,3.0,83,False,False,False
3094,1,8,someone learned  online a claim that the continental tectonic plates move at the same rate that fingernails grow,67317.0,11341.0,3615.0,41.0,15.0,112,False,False,False
9322,1,28,a colleague discovered on the news that the sunset is blue on mars,975818.0,410229.0,130998.0,9097.0,601.0,66,False,False,False
12690,0,31,our understanding is that more businesses will be owned by women than men by 2045,2687.0,497.0,157.0,7.0,2.0,81,False,False,False
14442,0,24,"my friends' belief is that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",8174.0,176.0,15.0,4.0,1.0,136,False,False,False
18733,0,45,"my family is convinced  that london, england has the world's oldest subway system",159.0,26.0,5.0,0.0,0.0,81,False,False,False
8313,1,21,a colleague read an article claiming that the continental tectonic plates move at the same rate that fingernails grow,32116.0,18642.0,4466.0,206.0,65.0,117,False,False,False
18240,0,48,my colleagues are willing to say that there are about 582 million entrepreneurs in the world,2716.0,670.0,183.0,16.0,2.0,92,False,False,False
9283,1,22,"i discovered on the radio a claim that about once a year, an asteroid the size of a car enters earth’s atmosphere",401024.0,34162.0,2971.0,577.0,260.0,113,False,False,False
15043,0,42,"my family's understanding is that there are almost 1.16 billion websites, but only about 200 million are active",7385.0,2343.0,101.0,14.0,5.0,111,False,False,False
11161,0,48,my colleagues feel that the earth holds about 11 quintillion pounds of air,4751.0,677.0,56.0,16.0,6.0,74,False,False,False
9872,0,50,i understand that frigate birds can sleep while flying,7180.0,1535.0,353.0,8.0,3.0,54,True,False,False
8785,1,13,a friend discovered on the radio a claim that 170-year-old champagne was found under the baltic sea,779416.0,153805.0,30419.0,1743.0,829.0,99,False,False,False
13693,0,55,my friends' opinion is that captive ravens can speak better than parrots,6834.0,1500.0,483.0,33.0,6.0,72,False,False,False
14673,0,59,my family's point of view is that the eiffel tower leans away from the sun,643.0,35.0,3.0,0.0,0.0,74,False,False,False
14579,0,13,my friends' hypothesis is that may 22nd is the least common birth date,1929.0,547.0,75.0,4.0,0.0,70,False,False,False
13543,0,15,my friends' view is that seventy percent of small businesses are owned and operated by a single person.,4208.0,1417.0,415.0,11.0,2.0,103,False,False,False
11994,0,23,my position is that dogs can understand up to 250 hand gestures and words,3141.0,344.0,129.0,4.0,1.0,73,False,False,False
11301,0,29,my view is that the moon’s craters might be the coldest places in the solar system,4750.0,1804.0,14.0,28.0,5.0,82,False,False,False
4151,1,10,someone read  on a website that australia is wider than the moon,500880.0,123211.0,28822.0,1586.0,556.0,64,False,False,False
510,1,24,"the news reported someone discovered that at the first modern olympics, winners were awarded silver medals",149004.0,16756.0,2184.0,215.0,137.0,106,False,True,False
4383,1,43,someone read  in the media a claim that baked beans are not actually baked,460411.0,202554.0,32525.0,3754.0,1912.0,74,False,True,False
2418,1,34,a friend read  on an internet forum that humans can’t taste food without saliva,15775.0,1993.0,728.0,39.0,8.0,79,False,False,True
15802,0,20,my colleagues' point of view is that vinyl record sales now surpass compact disc sales,9912.0,3468.0,515.0,29.0,8.0,86,False,False,False
5427,1,42,"i read  in the media a claim that every three seconds, there is a birth taking place somewhere in the world",647823.0,321373.0,24158.0,2456.0,1108.0,107,True,False,True
17929,0,52,my friends are willing to bet that the average american spends time totalling 2.5 days annually looking for lost items,9390.0,4028.0,308.0,34.0,3.0,118,False,False,False
15615,0,24,my family's belief is that 1 billion cars are currently in use around the world,972.0,204.0,33.0,1.0,0.0,79,False,False,False
11027,0,55,my colleagues understand that the tallest tower of cupcakes ever made was over 35 feet,9901.0,1083.0,344.0,9.0,3.0,86,False,False,False
1983,1,38,a friend learned  in a discussion board a claim that the volcano olympus mons on mars is over 3 times taller than mount everest,158222.0,55907.0,2352.0,110.0,59.0,127,False,True,False
3493,1,18,someone learned  on a website a claim that microbes from the sahara desert help feed the amazon rainforest,820820.0,496974.0,193626.0,2566.0,819.0,106,False,False,False
4314,1,46,someone read  in the news a claim that sloths can hold their breaths longer than dolphins,81189.0,10801.0,1847.0,93.0,53.0,89,False,False,False
260,1,26,a friend claimed someone discovered that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,137178.0,28660.0,11396.0,266.0,158.0,126,False,False,False
14090,0,9,my friends' feeling is that the pupil of a goat is rectangular,3225.0,729.0,129.0,3.0,1.0,62,False,False,False
8936,1,51,someone discovered on tv that you can burn calories just by standing,99512.0,43262.0,4461.0,202.0,63.0,68,False,False,False
5621,1,25,i read  on a website that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,340725.0,208424.0,75952.0,4635.0,2834.0,132,False,False,False
3626,1,24,"someone learned  from the news a claim that the odds of getting a set of cards referred to as a royal flush is 1 in 649,740",942317.0,417775.0,96346.0,5757.0,1855.0,123,False,True,False
5588,1,24,i read  in a discussion board a claim that neptune’s winds are the fastest in the solar system,120499.0,2409.0,730.0,8.0,5.0,94,False,False,False
6127,1,23,a colleague learned  from the media a claim that there are 7100+ islands in the philippines,271987.0,163957.0,14590.0,568.0,340.0,91,False,False,False
13715,0,12,my friends' opinion is that children are born less frequently on saturdays,3751.0,406.0,97.0,4.0,0.0,74,False,False,False
106,1,60,a friend mentioned someone discovered that dragonflies can see in all directions at the same time,228358.0,19295.0,2332.0,270.0,35.0,97,False,False,True
18960,0,46,in my opinion there are billions of eggs produced commercially each year,8423.0,2768.0,176.0,57.0,1.0,72,False,False,False
2924,1,54,a friend read  in the news a claim that sloths can hold their breaths longer than dolphins,50067.0,21497.0,2927.0,241.0,11.0,90,False,False,False
2374,1,56,a friend read  online a claim that the average american spends time totalling 2.5 days annually looking for lost items,986459.0,423574.0,87446.0,8390.0,5295.0,118,False,True,False
11868,0,20,my sentiment is that the car radio was first introduced in 1922,831.0,98.0,36.0,0.0,0.0,63,False,False,False
11707,0,19,"my impression is that your heart beats 100,000 times a day",8457.0,443.0,94.0,9.0,1.0,58,False,False,False
8567,1,29,a friend discovered on the news that the opposite sides of dice will always equal 7,687159.0,320482.0,49469.0,7057.0,4183.0,83,False,False,True
8641,1,41,"a friend discovered on tv that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",299061.0,22249.0,4050.0,303.0,70.0,110,False,False,False
16552,0,6,"my colleagues' sentiment is that london, england has the world's oldest subway system",347.0,146.0,10.0,1.0,0.0,85,True,False,False
8720,1,42,a friend discovered on tv a claim that a giant tortoise that was believed to be extinct was found in the galapagos islands,591849.0,360048.0,16745.0,267.0,127.0,122,False,False,False
7819,1,40,someone located a report claiming that it would take less than a month to get to the moon by car at 60mph,632617.0,10226.0,4022.0,48.0,24.0,105,False,False,False
16972,0,27,my colleagues' hypothesis is that no two teeth from different people will ever be alike,8763.0,1675.0,167.0,18.0,5.0,87,False,False,False
13985,0,30,my friends' impression is that there might be a huge planet in this solar system,2465.0,751.0,3.0,7.0,1.0,80,False,False,False
10574,0,8,my friends believe that the moon is moving away from the earth,9234.0,2336.0,585.0,45.0,15.0,62,False,False,False
53,1,54,a friend shared with a friend that the largest rock on earth is in australia,971357.0,111164.0,13178.0,2338.0,779.0,76,False,False,False
2761,1,27,a friend read  in a discussion board a claim that the moon is moving away from the earth,54069.0,11800.0,4420.0,264.0,124.0,88,False,False,False
5014,1,7,i learned  from the news a claim that humans will live on mars by 2035,124464.0,8741.0,2857.0,2.0,1.0,70,False,False,True
3304,1,20,"someone learned  on social media that the largest prime number has 17,425,170 digits",165091.0,26253.0,9249.0,86.0,5.0,84,False,False,False
